"id","name","type","categ_id","sale_ok","purchase_ok"
"8711","SCARICATORE AUTOMATICO CONDENSA SMC AD44","product","(779, 'All / Saleable / ARIA COMPRESSA  PRODUZIONE / RIDUTTORI PRESS SMC/ARIA COMP.PRODUZIONE')","True"
"5618","MANOMETRO X REGOLATORE SMC SERIE  AR GC3-10AS","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"8820","STAFFA DI COLLEGAMENTO x AR20 SMC S20 Y200","product","(724, 'All / Saleable / ARTICOLI VARI / RIDUTTORI PRESS SMC/ARTICOLI VARI')","True"
"8822","STAFFA DI COLLEGAMENTO x AR30 SMC S30 Y300","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"2890","STAFFA DI COLLEGAMENTO x AR40 SMC S40 Y400","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"4092","STAFFA DI COLLEGAMENTO C/SUPP. AR40 SMC S40 Y400T 00999689","product","(724, 'All / Saleable / ARTICOLI VARI / RIDUTTORI PRESS SMC/ARTICOLI VARI')","True"
"8836","STAFFA DI COLLEGAMENTO C/SUPP. x AR30 SMC S30 Y300T-A 00999688","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"8823","STAFFA DI COLLEGAMENTO C/SUPP.x AR20 SMC S20 Y200T","product","(724, 'All / Saleable / ARTICOLI VARI / RIDUTTORI PRESS SMC/ARTICOLI VARI')","True"
"797","SCARICATORE AUTOMATICO CONDENSA SMC AD48","product","(779, 'All / Saleable / ARIA COMPRESSA  PRODUZIONE / RIDUTTORI PRESS SMC/ARIA COMP.PRODUZIONE')","True"
"7440","ELEMENTO FILTRANTE SMC X  AF40P-060S","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"8106","SERBATOIO IN POLICARBONATO X AW30-F03 C3SF","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"2435","SERBATOIO IN POLICARBONATO X AW40-F04E C4SF","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"790","ELEMENTO FILTRANTE X SMC AFM40P-060AS","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"8835","MEMBRANA X REGOLATORE SMC AR20P-150AS","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"8839","MEMBRANA X REGOLATORE SMC AR30P-150AS","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"2978","MEMBRANA X REGOLATORE SMC AR40P-150AS","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"61","SERBATOIO IN POLICARBONATO X AW40-F04E C4SF-A","product","(139, 'All / Saleable / ARIA COMPRESSA TUBI-RACCORDI / RIDUTTORI PRESS SMC/ARIA COMP TUBI RACCORDI')","True"
"6800","ATS STANDARD MT.1,5","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')"
"8700","RIDUZIONE CILINDRICA M5X1/8 2040","product","(584, 'All / Saleable / ATTREZZATURA PICCOLA / ARIA COMPRESSA ACCESSORI/ATTREZZ.PICCOLA')","True"
"6921","TERMINALE C/FORO FILETTATO D.25 G3/4 F","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6922","NIPPLO FILETTATO D.25 G3/4 M","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6773","GIUNTO DRITTO D.32","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"1439","GIUNTO A L D.32","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6774","GIUNTO A T D.32","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"549","TERMINALE C/FORO FILETTATO D.32 G1/4","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"775","TERMINALE CHIUSO D.32","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6926","TERMINALE FILETTATO F D.32-G1","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6920","TERMINALE C/FORO FILETTATO D.32 G1/2 F","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6776","SQUADRA DI FISSAGGIO A L 60","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6775","VALVOLA A SFERA D.32","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"15557","BARRA CURVATA D20 90-180 A1086 (copia)","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"1440","TERMINALE CHIUSO D20","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"525","TERMINALE FIL. F 3/8 D.20","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"15558","GIUNTO A L AP22 TESEO 006.020022 (copia)","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6780","GRUPPO PIASTRA DI RIDUZIONE D20-I36","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6799","STAFFA A SCATTO AP20","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6797","COLLETTORE X CALATA AP20","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6778","GIUNTO DRITTO D25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"1435","GIUNTO A L D25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6779","GIUNTO A T D25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6948","TERMINALE CHIUSO D.25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6927","TERMINALE FILETTATO M D.25 3/4","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"15559","TERMINALE AP22 FIL. MASCHIO TESEO 006.020.030 (copia)","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"8251","PIASTRA RIDUZIONE COMPLETA HBS-AP25 I36","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6782","STAFFA DI FISSAGGIO D.25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"1443","STAFFA A SCATTO AP25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"6795","VALVOLA A SFERA D25","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"7328","KIT IMPIANTO ARIA COMPRESSA TESEO MT.10","product","(185, 'All / Saleable / RICAMBI / TESEO/RICAMBI')","True"
"12808","TAMPONE D.120 CON PIOLI 04640577","product","(1, 'All')","True"
"12809","TAMPONE D.120 CON PIOLI 046405771","product","(1, 'All')","True"
"12811","BUSTA CORTA DX 047018070","product","(1, 'All')","True"
"12812","CONTROBUSTA CORTA 40X5 DS 047018121","product","(1, 'All')","True"
"12815","INS.CASSETTA ELETTRICA KPS305 047065672","product","(1, 'All')","True"
"12813","INS.VASCHETTA LUBRIFICAZIONE 047098110","product","(1, 'All')","True"
"4214","AGIT.VARIOCOMPACT-1,5M FAS 90 RX08-3068","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')"
"327","CONNEX ECOTINT II RX08-7535  US","product","(162, 'All / Saleable / USATI / USATO')","True"
"983","SMALTO MISCELATO GLASURIT S.90 LT.0,5 (","consu","(718, 'All / Saleable / GLASURIT SMALTI / PRODOTTI MISCELATI/GLASURIT SMALTI')"
"9186","BANCO DA LAVORO PORTA PC GLASURIT XM24025A-XM08-7451 45152621","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"391","CPS-2M C/MOB.AGG. US","product","(162, 'All / Saleable / USATI / USATO')","True"
"4769","BARATTOLO VUOTO LT.1","product","(646, 'All / Saleable / TAZZE RICAMBI / CONT.FILTRI-ACC/TAZZE VARIE')","True"
"2595","FONDO POLIESTERE GLASURIT HS 1006-26 KG.1,4","product","(392, 'All / Saleable / GLASURIT FONDI / GLASURIT 2 FONDI')"
"17364","PULITORE DELICATO PER PELLE D'AMBROSIO SOFT LEATHER CLEANER ML.250 (copia)","product","(379, 'All / Saleable / LUCIDATURA PRODOTTI / PRESTA-MALCO NETTI/LUCIDAT.PRODOTTI')","True"
"909","GRAFFETTA GRECATA X PUNTOBAT 06MM PZ100","product","(285, 'All / Saleable / RIPARAZIONE PLASTICHE / RIPARAZIONE PLAST./RIPARAZ.PLAST')","True"
"4228","GRAFFETTE PIANE 0,8MM GF18 PZ.100","product","(285, 'All / Saleable / RIPARAZIONE PLASTICHE / RIPARAZIONE PLAST./RIPARAZ.PLAST')"
"864","GRAFFETTA SERPENTINA 3 PUNTI X PUNTOBAT 06MM PZ100","product","(285, 'All / Saleable / RIPARAZIONE PLASTICHE / RIPARAZIONE PLAST./RIPARAZ.PLAST')","True"
"4796","PROVA COLORE GLASURIT IN CARTA XW08-1020","product","(486, 'All / Saleable / ARTICOLI VARI / GLASURIT 1 ARTICOLI VARI')","True"
"6519","INGRANAGGIO FOLLE FORO 8","product","(145, 'All / Saleable / RICAMBI / RICAMBI 1')","True"
"8930","ETICHETTE BASI S.90 XM301000-0007","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"14550","COPERTURA PIATTO DI PESATA BILANCIA 45152644 (copia)","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"14548","CPS2M-CPS3M-CPS4M N.50-N.24-N.10  45208278 3/2016 (copia)","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"2773","ASTA GRADUATA 4:1:1/2:1 XW43-0183-0102","product","(486, 'All / Saleable / ARTICOLI VARI / GLASURIT 1 ARTICOLI VARI')","True"
"3493","BASE S.11 BIANCO PERL.FINE E-014 LT0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"1930","BASE S.11 ORO AMBR.PERLAT.E-120 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3480","BASE S.11 ARANCIO PERLATO E-220 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"10554","LICENZA TRIENNALE PROFIT MANAGER (copia)","consu","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"10556","ABBONAMENTO ANNUALE ONLINE GLASURIT (copia)","consu","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"2216","BASE S.11 BRONZO PERLATO E-280 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"14334","BASE S.11 BRONZO PERLATO E-280 LT.0,125 (copia)","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"2090","BASE S.11 ROSSO PERLATO E-330 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"2224","BASE S.11 VIOLETTO PERLATO E-440 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3448","BASE S.11 VIOLA PERLATA BRILLANTE E-460 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3422","BASE S.11 BLU ZAFF.PERL.E-520 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"14405","BASE S.11 BLU METALLIZZATO  LE555 LT.0,125 (copia)","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"1945","BASE S.11 VERDE SME.PERL.E-620 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"1903","BASE S.11 GIALLO VER.PERL.E-650 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3438","BASE S.11 BLU VERDE PERL.E-660 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"2018","BASE S.11 RAME PERLATA E-830 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3413","BASE S.11 CORALLO PERL.E-850 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3405","BASE S.11 ORO FINE PERL.E-910 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"13541","*BASE S.11 OTTONE PERL.E-920 LT.0,125 (copia)","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3135","BASE S.11 VETRO SCINTILLANTE E025 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"2225","BASE S.11 VIOLA PERL.E480 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"2254","BASE S.11 VERDE PERLATO E-630 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"2501","BASE S.11 ROSSO-VER.PERL.E-680 LT.0,125","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"11027","BASE S.11 NOCCIOLA LT.0,125 11LE35U (copia)","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"17068","BASE S.11 ROSSO BRILLANTE METALLIZATO LT.0,125 11LE333 (copia)","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"4758","SALOPETTE GLASURIT                    XW08-1200","product","(207, 'All / Saleable / ARTICOLI VARI / OMAGGI')","True"
"6520","INGRANAGGIO CON PERNO","product","(145, 'All / Saleable / RICAMBI / RICAMBI 1')","True"
"74","SMALTO LECHLER BRILLIANT COLOR SPECIAL MIX ML.100 (","consu","(717, 'All / Saleable / LECHLER SMALTI / PRODOTTI MISCELATI/LECHLER SMALTI')","True"
"5571","COPERCHIO C/IMP.TECMEC.LT.0,5 RX08-4061","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')"
"6468","ETICHETTE SOTTOCOFANO 10PZ.    XW43-0162","product","(486, 'All / Saleable / ARTICOLI VARI / GLASURIT 1 ARTICOLI VARI')","True"
"7277","CPS-3U C/MOB.AGG.   XM30-1680-0100 MATR.","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"741","COPERTINE E VITI X AGG.TO CPS4M N.8","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"2366","COPERCHIO X FAS 55 LT.0,5 XM08-0188","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')"
"9185","COPERCHIO VARIO.FAS 55 LT.1 XM08-0189","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"2868","PRIMER ANTICORROSIVO GLASURIT ROSSO 183.153 LT.1","product","(392, 'All / Saleable / GLASURIT FONDI / GLASURIT 2 FONDI')","True"
"2538","PRIMER ANTICORROSIVO GLASURIT SPRAY ROSSO 183-30 ML.400","product","(497, 'All / Saleable / PRODOTTI SPRAY / GLASURIT 2 PRODOTTI SPRAY')","True"
"6126","COPERCHIO X VARIO.FAS 55 LT.3-4    0190","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"6402","FONDO NERO 1K SPRAY 185-66/00  400ML","product","(497, 'All / Saleable / PRODOTTI SPRAY / GLASURIT 2 PRODOTTI SPRAY')","True"
"7525","CPS-3M C/MOB.AGG.   XM30-2059-0101 MATR.","product","(383, 'All / Saleable / COMPONENTI DOSATORE / GLASURIT COMP./COMP.DOSAT.')","True"
"1593","BARATTOLO VUOTO LT.0,5","product","(646, 'All / Saleable / TAZZE RICAMBI / CONT.FILTRI-ACC/TAZZE VARIE')"
"7349","BARATTOLO VUOTO LT.2","product","(646, 'All / Saleable / TAZZE RICAMBI / CONT.FILTRI-ACC/TAZZE VARIE')","True"
"3819","BASE GLASURIT HS S.22 M05 OCRA LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"8948","BASE GLASURIT HS S.22 M06 ROSSO BRUNO  LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3786","BASE GLASURIT HS S.22 M26 NERO PROFONDO LT.3,5","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3790","BASE GLASURIT HS S.22 M30 RUBINO LT.3,5","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"4845","*BASE GLASURIT HS S.22 M39 LT.1","product","(472, 'All / Saleable / SMALTI 2 / PRODOTTI DA SMALTIRE')","True"
"4846","*BASE GLASURIT HS S.22 M40 LT.1","product","(472, 'All / Saleable / SMALTI 2 / PRODOTTI DA SMALTIRE')","True"
"3787","BASE GLASURIT HS S.22 M43 GIALLO ARANCIO LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3776","BASE GLASURIT HS S.22 M52 BLU ELIO LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3778","BASE GLASURIT HS S.22 M55 ROSSO MAGENTA LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"11342","BASE GLASURIT HS S.22 M06 ROSSO BRUNO  LT.1 (copia)","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3773","BASE GLASURIT HS S.22 M60 BIANCO LT.3,5","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3748","BASE GLASURIT HS S.22 M63 BLU MEDIO LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3749","BASE GLASURIT HS S.22 M68 VERDE SCURO LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3754","BASE GLASURIT HS S.22 M77 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"2271","BASE GLASURIT HS S.22 M94 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"8945","BASE GLASURIT HS S.22 A105 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3724","BASE GLASURIT HS S.22 A126 LT.3,5","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
"3730","BASE GLASURIT HS S.22 A131 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3728","BASE GLASURIT HS S.22 M146 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3722","BASE GLASURIT HS S.22 A160 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"2243","BASE GLASURIT HS S.22 A168 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3706","BASE GLASURIT HS S.22 A172 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3713","BASE GLASURIT HS S.22 M201 LT.1","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')","True"
"3718","BASE GLASURIT HS S.22 M326 LT.3,5","product","(212, 'All / Saleable / GLASURIT SMALTI / GLASURIT 1 SMALTI')"
